[2026-03-09 15:17:19,494][__main__][INFO] - ////////////////////////////////////////////////
[2026-03-09 15:17:19,494][__main__][INFO] - ///// NO GPU DETECTED! Falling back to CPU /////
[2026-03-09 15:17:19,494][__main__][INFO] - ////////////////////////////////////////////////
[2026-03-09 15:17:19,495][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-09 15:17:22,955][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-09 15:17:25,737][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-09 15:17:25,981][__main__][INFO] - Making design /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/runs/modatest/rfdiffusion/HHH_ems_00001-51_0
[2026-03-09 15:17:25,987][rfdiffusion.inference.model_runners][INFO] - Using contig: ['51-51']
[2026-03-09 15:17:26,011][rfdiffusion.inference.model_runners][INFO] - Sequence init: ---------------------------------------------------
[2026-03-09 15:17:28,732][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ---------------------------------------------------
[2026-03-09 15:17:30,881][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ---------------------------------------------------
[2026-03-09 15:17:33,325][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ---------------------------------------------------
[2026-03-09 15:17:36,055][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ---------------------------------------------------
[2026-03-09 15:17:38,296][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ---------------------------------------------------
[2026-03-09 15:17:42,068][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ---------------------------------------------------
[2026-03-09 15:17:44,341][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ---------------------------------------------------
[2026-03-09 15:17:46,041][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ---------------------------------------------------
[2026-03-09 15:17:48,627][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ---------------------------------------------------
[2026-03-09 15:17:50,726][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ---------------------------------------------------
[2026-03-09 15:17:52,595][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ---------------------------------------------------
[2026-03-09 15:17:54,524][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ---------------------------------------------------
[2026-03-09 15:17:56,711][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ---------------------------------------------------
[2026-03-09 15:17:58,850][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ---------------------------------------------------
